"symbol","name","asset_type","data_source","enabled","note"
"014777","富国中证芯片产业 ETF 联接 C","fund","akshare","1","支付宝基金；开放式基金净值"
"014881","天弘中证机器人 ETF 联接 C","fund","akshare","1","支付宝基金；开放式基金净值"
"011840","天弘中证人工智能主题指数C","fund","akshare","1","支付宝基金；开放式基金净值"
"013309","易方达恒生科技 ETF 联接 C","fund","akshare","1","支付宝基金；开放式基金净值"
"025857","华夏中证电网设备主题ETF联接C","fund","akshare","1","支付宝基金；开放式基金净值"
"023037","中欧资源精选混合C","fund","akshare","1","支付宝基金；开放式基金净值"
"022460","易方达中证A500ETF联接C","fund","akshare","1","支付宝基金；开放式基金净值"
"002714","牧原股份","stock","akshare","1","A 股股票；默认前复权 qfq"
"sh000300","沪深300","index","akshare","1","已确认：沪深300，AKShare index_zh_a_hist 查询代码 000300"
"000510","中证A500","index","akshare","1","已确认：中证A500，AKShare index_zh_a_hist 查询代码 000510"
"HSTECH","恒生科技","index","akshare","1","已确认：恒生科技指数，AKShare stock_hk_index_daily_sina 查询代码 HSTECH"
"H30007","中证芯片","index","akshare","1","已确认：中证芯片产业指数，AKShare index_zh_a_hist 查询代码 H30007"
"H30590","机器人指数","index","akshare","1","已确认：中证机器人指数，AKShare index_zh_a_hist 查询代码 H30590"
"017641","摩根标普500指数(QDII)人民币A","fund","akshare","1","2026-06-22 起每个交易日定投 10 元；海外宽基长期配置；实际扣款确认后再计入交易记录"
"019172","摩根纳斯达克100指数(QDII)人民币A","fund","akshare","1","2026-07-09 调整为每个交易日定投 10 元；海外科技宽基配置；实际扣款确认后再计入交易记录"
"022459","易方达中证A500ETF联接A","fund","akshare","1","2026-07-04 记录：每周四涨跌幅智能定投 70 元；国内宽基核心底仓；实际扣款确认后再计入交易记录"
"021550","博时中证红利低波动100ETF联接A","fund","akshare","1","2026-07-04 记录：每周四涨跌幅智能定投 30 元；红利低波防守仓；实际扣款确认后再计入交易记录"
