"asset_code","asset_name","asset_type","holding_amount","cost_amount","profit_rate","updated_at","note"
"014777","富国中证芯片产业 ETF 联接 C","fund","891.76","788.65","13.07","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +103.11 元"
"011840","天弘中证人工智能主题指数 C","fund","498.83","437.74","13.96","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +61.09 元"
"014881","天弘中证机器人 ETF 联接 C","fund","846.43","811.85","4.26","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +34.58 元；高波动卫星主题仓"
"021550","博时中证红利低波动100ETF联接A","fund","513.88","501.00","2.73","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +12.88 元；定投"
"017641","摩根标普500指数(QDII)人民币A","fund","329.52","320.00","3.17","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +9.52 元；定投"
"019172","摩根纳斯达克100指数(QDII)人民币A","fund","226.20","220.00","3.10","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +6.20 元；定投"
"013309","易方达恒生科技 ETF 联接(QDII) C","fund","617.73","615.00","0.44","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +2.73 元"
"022459","易方达中证A500ETF联接A","fund","1072.27","1070.64","0.15","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +1.63 元；定投"
"010770","天弘中证农业主题 ETF 联接 C","fund","30.72","30.00","2.40","2026-08-05","2026-08-05 支付宝截图确认；持有收益 +0.72 元"
"023037","中欧资源精选混合 C","fund","259.85","260.00","-0.06","2026-08-05","2026-08-05 支付宝截图确认；持有收益 -0.15 元"
"025857","华夏中证电网设备主题 ETF 联接 C","fund","307.58","330.00","-7.23","2026-08-05","2026-08-05 支付宝截图确认；持有收益 -22.42 元"
"015210","前海开源沪港深农业主题精选灵活配置混合(LOF) C","fund","267.82","295.00","-9.21","2026-08-05","2026-08-05 支付宝截图确认；持有收益 -27.18 元；旧农业仓"
"005224","广发中证基建工程 ETF 联接 C","fund","311.89","339.74","-8.20","2026-08-05","2026-08-05 支付宝截图确认；持有收益 -27.85 元；非核心仓"
"019934","工银瑞信国证港股通科技 ETF 联接 C","fund","492.78","521.00","-5.42","2026-08-05","2026-08-05 支付宝截图确认；持有收益 -28.22 元；重复科技仓"
"002714","牧原股份","stock","20460.0","18906.0","8.2196","2026-07-16T14:45:00","用户确认：2026-06-11 以 33.90 元买入 100 股；2026-06-24 以 32.40 元买入 100 股；2026-07-16 以 40.92 元买入右侧观察仓 300 股；2026-07-20 起当前 500 股统一按长期周期仓管理，不设置机械价格止损；平均成本 37.812 元；当前金额按 40.92 元估算。"
