"asset_code","asset_name","action","amount","trade_date","reason","created_at"
"002714","牧原股份","buy","3390.0","2026-06-11","用户确认：33.90 元买入 1 手（100 股）","2026-06-12 05:20:41"
"002714","牧原股份","buy","12276.0","2026-07-16","用户确认：40.92 元买入 300 股，执行突破后次日确认的第一笔右侧趋势加仓；原有 200 股继续作为核心仓。","2026-07-16T14:45:00"
"014777","富国中证芯片产业 ETF 联接 C","sell","100.04","2026-06-18","用户确认卖出 51 份；当时持有收益率 +46.49%，触发 +45% 至 +50% 分层止盈档；金额按盘中估值 1.9616 元估算，实际结算以 2026-06-18 公布净值及赎回费为准。","2026-06-18T14:36:22"
"017641","摩根标普500指数(QDII)人民币A","buy","10.0","2026-06-22","用户确认从 2026-06-22 开始每日定投 10 元；本条记录当日首笔定投，后续扣款以平台实际确认为准。","2026-06-22T14:52:11"
"011840","天弘中证人工智能主题指数 C","sell","29.4","2026-06-22","用户确认卖出 29.4 元；当时持有收益率达到 +35%，触发 AI 基金第一档分层止盈；实际结算以 2026-06-22 公布净值及赎回费为准。","2026-06-22T14:54:10"
"002714","牧原股份","buy","3240.0","2026-06-24","用户确认：32.40 元买入 1 手（100 股），执行带确认机制金字塔补仓法第一档。","2026-06-24T14:50:00"
"014777","富国中证芯片产业 ETF 联接 C","sell","50.13","2026-06-24","用户确认卖出约 50 元、24 份；当时持有收益率约 +54%，触发芯片基金高收益分层止盈；金额按 2026-06-24 盘中估值约 2.0888 元估算，实际结算以当日公布净值及赎回费为准。","2026-06-24T13:30:00"
"014777","富国中证芯片产业 ETF 联接 C","sell","50.0","2026-06-25","用户在支付宝基金确认卖出约 50 元、23 份；当时持有收益率仍约 +62%，触发芯片基金高收益区间的第三次分层止盈；实际结算以支付宝按 2026-06-25 公布净值及赎回费确认为准。","2026-06-25T14:35:00"
"014777","富国中证芯片产业 ETF 联接 C","sell","32.81","2026-06-26","用户补充确认：2026-06-26 在支付宝基金卖出 15 份；按当日正式单位净值 2.1871 元估算金额约 32.81 元，实际到账以支付宝扣除赎回费后的确认为准。","2026-06-28T00:00:00"
"013309","易方达恒生科技 ETF 联接(QDII) C","buy","15.0","2026-06-26","用户补充确认：2026-06-26 在支付宝基金买入 15 元；恒生科技当日回调，作为小额左侧补仓。实际确认份额以支付宝按当日净值及费用确认为准。","2026-06-28T00:00:00"
"014777","富国中证芯片产业 ETF 联接 C","sell","23.65","2026-07-01","用户在支付宝基金确认卖出 10 份，约 23.65 元；当时持有收益率约 +82%，属于芯片基金极高收益区间的轻量分层止盈。实际结算以支付宝按 2026-07-01 公布净值及赎回费确认为准。","2026-07-01T14:35:00"
"014881","天弘中证机器人 ETF 联接 C","sell","50.21","2026-07-03","用户在支付宝基金确认卖出 38 份，约 50.21 元；机器人基金当日大幅反弹，预计持有收益率接近或超过 +20%，触发机器人高波动卫星主题仓第一档分层止盈。实际结算以支付宝按 2026-07-03 公布净值及赎回费确认为准。","2026-07-03T14:45:00"
